,network_type,cv,weight_decay,refit,num_train_ksr,num_test_ksr,AUPRC,AUROC,MCC,F1,ACC,TP,TN,FP,FN,train_loss,val_loss,val_r2,activation,drop_p_prior,drop_p_kki,drop_p_ksr
87,weight,3,1e-10,9,96990,24118,0.08065295249741314,0.4885261595215255,-0.027364133473550517,0.02841530054644809,0.8735039762217198,468.0,220532.0,8354.0,23650.0,0.015234415634320332,0.015095120295882225,0.7776167392730713,ReLU0,0,0,0
88,cpd,4,1e-10,,97064,24044,0.24329294418628641,0.7150084187461827,0.21579762359176322,0.232522944737356,0.6354550724637681,19052.0,200180.0,120776.0,4992.0,0.02011999781601704,0.021830361026028793,0.6738282144069672,ReLU0,0,0,0
89,weight,4,1e-10,,97064,24044,0.11079354745166137,0.5044886623509159,0.2341736016978106,0.19766930428527388,0.5290104942099663,24044.0,195188.0,195187.0,0.0,0.02011999781601704,0.021830361026028793,0.6738282144069672,ReLU0,0,0,0
90,cpd,4,1e-10,0,97064,24044,0.20752906244617814,0.662756017180619,0.18661790020409866,0.2257482967934478,0.6565778479249837,16717.0,202515.0,107342.0,7327.0,0.019357919263151977,0.01847119691471259,0.7376652459303538,ReLU0,0,0,0
91,weight,4,1e-10,0,97064,24044,0.09293631795219232,0.4671255821188217,-0.006811817924208731,0.10758357949369185,0.7722590917416973,3897.0,215335.0,44505.0,20147.0,0.019357919263151977,0.01847119691471259,0.7376652459303538,ReLU0,0,0,0
92,cpd,4,1e-10,1,97064,24044,0.21789693699442353,0.6689314494791598,0.1880494667300541,0.22605870626061392,0.6553374405514553,16839.0,202393.0,108096.0,7205.0,0.017748893955006048,0.017327876451114815,0.7678837478160858,ReLU0,0,0,0
93,weight,4,1e-10,1,97064,24044,0.08502007809665348,0.475784020175736,-0.030360550135024193,0.059829245508461686,0.835140890407567,1377.0,217855.0,20610.0,22667.0,0.017748893955006048,0.017327876451114815,0.7678837478160858,ReLU0,0,0,0
94,cpd,4,1e-10,2,97064,24044,0.2243217104599867,0.6813752897159492,0.19679395177452058,0.22913368759154773,0.6513305465683872,17442.0,201790.0,110757.0,6602.0,0.01707556786445471,0.016347023968895275,0.7532734572887421,ReLU0,0,0,0
95,weight,4,1e-10,2,97064,24044,0.0865184356789076,0.48111057534208157,-0.025938480872679283,0.05638003266349499,0.846132173416339,1191.0,218041.0,17014.0,22853.0,0.01707556786445471,0.016347023968895275,0.7532734572887421,ReLU0,0,0,0
96,cpd,4,1e-10,3,97064,24044,0.23010759707907086,0.6914349298821032,0.2066136698026101,0.23458530285249748,0.6525092043347431,17891.0,201341.0,110598.0,6153.0,0.016063279687212065,0.01624420735364159,0.7652551929155985,ReLU0,0,0,0
